npi,fraud_score_xgb,fraud_score_iso,fraud_score_ensemble,fraud_tier
1100000000,1.9884371340594957e-06,0.17437871146895484,0.06975267764986239,LOW
1100000001,2.486216317265644e-06,0.0701002785113245,0.02804160313432016,LOW
1100000002,2.26212500820111e-06,0.131515897693682,0.05260771635247772,LOW
1100000003,2.486216317265644e-06,0.09972914507061881,0.039893149758037885,LOW
1100000004,7.842542686375964e-07,0.09439632374528795,0.03775900005067636,LOW
1100000005,2.227345021310612e-06,0.032346597352390205,0.012939975347968868,LOW
1100000006,3.320962832731311e-06,0.09297954049263046,0.03719380877475183,LOW
1100000007,1.7090852679757518e-06,0.09969463334182294,0.03987887878788996,LOW
1100000008,7.842542686375964e-07,0.07270974426924914,0.029084368260260843,LOW
1100000009,2.26212500820111e-06,0.11461594345218085,0.04584773465587726,LOW
1100000010,1.2284295962672331e-06,0.07181380299026308,0.028726258253862994,LOW
1100000011,2.26212500820111e-06,0.055781720045158245,0.02231404529306822,LOW
1100000012,2.227345021310612e-06,0.052329472974546265,0.020933125596831293,LOW
1100000013,7.842542686375964e-07,0.07738245216374307,0.03095345141805841,LOW
1100000014,3.320962832731311e-06,0.1190482829683579,0.0476213057650428,LOW
1100000015,2.486216317265644e-06,0.058908937925584826,0.02356506690002429,LOW
1100000016,2.022099806708866e-06,0.09887072970746347,0.039549505142869416,LOW
1100000017,2.227345021310612e-06,0.10904766603228733,0.043620402819927726,LOW
1100000018,7.842542686375964e-07,0.19676737159065116,0.07870741918882165,LOW
1100000019,3.320962832731311e-06,0.05152233983330434,0.020610928511021375,LOW
1100000020,1.7090852679757518e-06,0.07306657664673,0.029227656109852784,LOW
1100000021,2.380541445745621e-06,0.12507147743485458,0.050030019298809285,LOW
1100000022,2.26212500820111e-06,0.04784527910141689,0.01913946891557168,LOW
1100000023,2.26212500820111e-06,0.3286707081367304,0.13146964052969706,LOW
1100000024,7.842542686375964e-07,0.035004850700204426,0.014002410832642954,LOW
1100000025,2.486216317265644e-06,0.0723058773997165,0.02892384268967696,LOW
1100000026,2.486216317265644e-06,0.12260951685279708,0.049045298470909195,LOW
1100000027,1.969586719496874e-06,0.25265585968743726,0.10106352562700661,LOW
1100000028,2.26212500820111e-06,0.07744697145275803,0.030980145856108136,LOW
1100000029,1.494082539466035e-06,0.09039502024598423,0.03615890454791738,LOW
1100000030,2.2161514152685413e-06,0.052249549789538885,0.020901149606664716,LOW
1100000031,2.227345021310612e-06,0.10855688682737274,0.04342409113796189,LOW
1100000032,7.842542686375964e-07,0.05533898518079905,0.022136064624880804,LOW
1100000033,1.8571574855741344e-06,0.06163192283217922,0.024653883427363035,LOW
1100000034,1.3923248616265482e-06,0.1077173981089985,0.04308779463851638,LOW
1100000035,1.5730424820503686e-06,0.18079481187686952,0.07231886857623705,LOW
1100000036,7.842542686375964e-07,0.11594690021884702,0.04637923064009999,LOW
1100000037,2.486216317265644e-06,0.05785232656167105,0.02314242235445878,LOW
1100000038,1.5107460740182432e-06,0.11160305865634068,0.04464212991018068,LOW
1100000039,3.320962832731311e-06,0.04812620798433265,0.019252475771432697,LOW
1100000040,3.320962832731311e-06,0.019643894925035155,0.0078595505477137,LOW
1100000041,8.550761663173034e-07,0.2136311382877894,0.08545296836081555,LOW
1100000042,2.26212500820111e-06,0.06693999762574043,0.026777356325301097,LOW
1100000043,1.215497832163237e-06,0.07973285047075074,0.0318938694869996,LOW
1100000044,2.486216317265644e-06,0.18906921468810506,0.07562917760503239,LOW
1100000045,5.6300418691535015e-06,0.5611495763213215,0.22446320855365007,LOW
1100000046,2.227345021310612e-06,0.03165308497124175,0.012662570395509488,LOW
1100000047,1.8470452687324723e-06,0.5509121268177729,0.2203659589542704,LOW
1100000048,2.227345021310612e-06,0.11360738495774525,0.04544429039011089,LOW
1100000049,2.9351683679124108e-06,0.13874557184579805,0.05549998983933997,LOW
1100000050,2.486216317265644e-06,0.08588711431511808,0.0343563374558376,LOW
1100000051,2.568280024206615e-06,0.29624735229458615,0.118500481885849,LOW
1100000052,2.486216317265644e-06,0.07958009201238303,0.031833528534743576,LOW
1100000053,7.842542686375964e-07,0.08415340511337888,0.03366183259791273,LOW
1100000054,7.864562689974264e-07,0.10793213556068093,0.043173326098033774,LOW
1100000055,2.486216317265644e-06,0.09190770178022312,0.036764572441879605,LOW
1100000056,3.320962832731311e-06,0.13628261166676203,0.05451503724440445,LOW
1100000057,7.842542686375964e-07,0.07598086163217865,0.030392815205432647,LOW
1100000058,7.489218205591897e-07,0.10742020434203492,0.0429685310899063,LOW
1100000059,1.1160431313328443e-05,0.1251985545768015,0.05008611808950861,LOW
1100000060,2.227345021310612e-06,0.0977187562845041,0.03908883892081443,LOW
1100000061,7.842542686375964e-07,0.11772502556995923,0.047090480780544876,LOW
1100000062,9.75576995188021e-07,0.11193993524886192,0.04477655944574188,LOW
1100000063,2.26212500820111e-06,0.009127899678651685,0.003652517146465595,LOW
1100000064,2.227345021310612e-06,0.12124683645056322,0.04850007098723808,LOW
1100000065,2.26212500820111e-06,0.21175990140805384,0.08470531783822646,LOW
1100000066,2.9351683679124108e-06,0.11675293611881477,0.04670293554854666,LOW
1100000067,2.0448219402169343e-06,0.05640262068357649,0.022562275166594727,LOW
1100000068,7.965261943354562e-07,0.1285308824450726,0.05141283089374564,LOW
1100000069,2.26212500820111e-06,0.13385763012556096,0.05354440932522931,LOW
1100000070,7.842542686375964e-07,0.03669267596661019,0.01467754093920526,LOW
1100000071,3.320962832731311e-06,0.12134690707119056,0.04854075540617586,LOW
1100000072,2.26212500820111e-06,0.04934603826438677,0.01973977258075963,LOW
1100000073,8.877609758428663e-08,0.09998680324392006,0.03999477456322658,LOW
1100000074,2.26212500820111e-06,0.10165883339121762,0.04066489063149197,LOW
1100000075,7.842542686375964e-07,0.07154045237841478,0.028616651503927094,LOW
1100000076,7.842542686375964e-07,0.1429317482472412,0.057173169851457664,LOW
1100000077,2.486216317265644e-06,0.35773651889246366,0.14309609928677583,LOW
1100000078,2.486216317265644e-06,0.12925413828044874,0.051703147041969856,LOW
1100000079,1.332266720055486e-06,0.11577886800114467,0.04631234656048991,LOW
1100000080,1.7794382074498571e-06,0.05708460107939739,0.022834908094683425,LOW
1100000081,1.7794382074498571e-06,0.08220004840200967,0.03288108702372834,LOW
1100000082,7.842542686375964e-07,0.06038571935471637,0.024154758294447732,LOW
1100000083,4.275885601146001e-07,0.06546413859056899,0.026185911989363667,LOW
1100000084,5.242156021267874e-06,0.1316254545461072,0.05265332711205564,LOW
1100000085,7.842542686375964e-07,0.1297895809230084,0.051916302921764544,LOW
1100000086,8.580850590078626e-06,0.10876338628844617,0.04351050302573252,LOW
1100000087,2.227345021310612e-06,0.19118019890976884,0.07647341597092033,LOW
1100000088,1.7794382074498571e-06,0.033318297789480256,0.013328386778716571,LOW
1100000089,8.550761663173034e-07,0.2696112785737757,0.10784502447521008,LOW
1100000090,2.26212500820111e-06,0.030754884686926665,0.012303311149775587,LOW
1100000091,2.26212500820111e-06,0.1560721462113568,0.06243021575954764,LOW
1100000092,8.550761663173034e-07,0.5702366623270609,0.22809517797652418,LOW
1100000093,2.491799250492477e-06,0.13429102343668442,0.053717904454224065,LOW
1100000094,1.898719688142592e-06,0.1429657179041015,0.05718742639345349,LOW
1100000095,7.842542686375964e-07,0.06860878677680404,0.027443985263282802,LOW
1100000096,9.347488116873136e-07,0.10939144945423696,0.043757140630981795,LOW
1100000097,3.320962832731311e-06,0.07987410148851337,0.03195163317310499,LOW
1100000098,2.26212500820111e-06,0.3417425112595706,0.13669836177883316,LOW
1100000099,7.842542686375964e-07,0.17368279860833208,0.06947358999589401,LOW
1100000100,2.26212500820111e-06,0.12271382206263082,0.04908688610005725,LOW
1100000101,2.0995571503590327e-06,0.046292412464591814,0.01851822472012694,LOW
1100000102,7.842542686375964e-07,0.05774944525575587,0.023100248654863532,LOW
1100000103,7.842542686375964e-07,0.22054083635942767,0.08821680509633226,LOW
1100000104,1.074705778592033e-06,0.11585206664782954,0.04634147148259898,LOW
1100000105,2.227345021310612e-06,0.08343015569654211,0.033373398685629635,LOW
1100000106,2.26212500820111e-06,0.07653481100075687,0.030615281675307672,LOW
1100000107,7.842542686375964e-07,0.09942231380846223,0.039769396075946074,LOW
1100000108,1.3961636113890563e-06,0.07710749695625485,0.030843836480668775,LOW
1100000109,2.26212500820111e-06,0.17113563292119516,0.06845561044348299,LOW
1100000110,7.842542686375964e-07,0.04942809990979713,0.019771710516480037,LOW
1100000111,2.26212500820111e-06,0.05912175596349334,0.023650059660402258,LOW
1100000112,3.320962832731311e-06,0.06489626883716748,0.02596050011256663,LOW
1100000113,1.650905119277013e-06,0.15839779865056325,0.06336011000329687,LOW
1100000114,1.3048008895566454e-07,0.09648209321909751,0.03859291557569238,LOW
1100000115,2.0448219402169343e-06,0.053982405077796836,0.021594188924282866,LOW
1100000116,9.135710570262744e-07,0.14472123118696467,0.05788904061742008,LOW
1100000117,7.842542686375964e-07,0.11114315253317042,0.04445773156582935,LOW
1100000118,1.6834407290389208e-07,0.10206941731569341,0.04082786793272111,LOW
1100000119,3.4163576856371947e-06,0.05729848833700468,0.022921445149413258,LOW
1100000120,2.227345021310612e-06,0.1117892303319612,0.04471702853979727,LOW
1100000121,7.603638323416817e-07,0.10944131026334458,0.043776980323637235,LOW
1100000122,2.486216317265644e-06,0.10421292106464242,0.04168666015564733,LOW
1100000123,3.320962832731311e-06,0.11291266760584306,0.045167059620036865,LOW
1100000124,2.486216317265644e-06,0.07238756410463176,0.028956517371643065,LOW
1100000125,2.227345021310612e-06,0.07858802871793613,0.03143654789418724,LOW
1100000126,2.227345021310612e-06,0.25670192967645244,0.10268210827759378,LOW
1100000127,7.543676616705852e-08,0.05407963087206413,0.021631897610885357,LOW
1100000128,1.5730424820503686e-06,0.15199289001304972,0.06079809983070912,LOW
1100000129,2.486216317265644e-06,0.08795262628297174,0.03518254224297906,LOW
1100000130,7.842542686375964e-07,0.059955234564886384,0.023982564378515737,LOW
1100000131,2.26212500820111e-06,0.04006180013585414,0.01602607732934658,LOW
1100000132,3.320962832731311e-06,0.06221922439643568,0.02488968233627391,LOW
1100000133,2.347600684515782e-06,0.06401098250521242,0.02560580156249568,LOW
1100000134,2.400246785327909e-06,0.04426247493812452,0.017706430123321005,LOW
1100000135,3.320962832731311e-06,0.23360101386474846,0.09344239812359903,LOW
1100000136,7.842542686375964e-07,0.17809762989327765,0.07123952250987224,LOW
1100000137,3.4163576856371947e-06,0.07282862012542546,0.029133497864781567,LOW
1100000138,7.842542686375964e-07,0.1406543006497204,0.05626219081244934,LOW
1100000139,2.26212500820111e-06,0.09107297651377133,0.036430547880513454,LOW
1100000140,7.842542686375964e-07,0.09008824020430217,0.03603576663428205,LOW
1100000141,2.227345021310612e-06,0.14092991198693838,0.05637330120178814,LOW
1100000142,7.842542686375964e-07,0.16834874300345615,0.06733996775394364,LOW
1100000143,1.07877212940366e-06,0.056912360556935604,0.022765591486051884,LOW
1100000144,2.486216317265644e-06,0.10986415367221658,0.043947153198676994,LOW
1100000145,2.0457894152059453e-06,0.05886557927351954,0.02354745918305694,LOW
1100000146,8.550761663173034e-07,0.32394166339837543,0.12957717840504995,LOW
1100000147,4.765071025758516e-06,0.09607764728152746,0.03843391795522644,LOW
1100000148,3.2611960705253296e-06,0.12242969918268465,0.04897383639071618,LOW
1100000149,2.227345021310612e-06,0.17183648313371852,0.0687359296605002,LOW
1100000150,3.103275957982987e-06,0.14599357261564672,0.058399291011833485,LOW
1100000151,2.227345021310612e-06,0.15189664577295225,0.06075999471619369,LOW
